model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_type
 Ka+,2019,9750,Manual,8500,Petrol,145,47.9,1.2,ford
 Fiesta,2018,13299,Manual,8207,Petrol,145,58.9,1.0,ford
 E Class,2019,34980,Semi-Auto,4196,Diesel,145,70.6,2.0,merc
 Fabia,2019,11291,Manual,1470,Petrol,145,61.4,1.0,skoda
 C-HR,2017,14500,Automatic,106470,Hybrid,135,74.3,1.8,toyota
 A Class,2016,15500,Manual,32046,Diesel,20,68.9,1.5,merc
 CL Class,2016,17970,Semi-Auto,32517,Diesel,20,67.3,2.1,merc
 Kuga,2019,18990,Manual,11013,Diesel,145,36.7,2.0,ford
 Grand C-MAX,2016,12295,Manual,36706,Diesel,30,61.4,2.0,ford
 Edge,2017,19395,Semi-Auto,39000,Diesel,160,48.7,2.0,ford
 R8,2015,54945,Automatic,23924,Petrol,570,22.8,4.2,audi
 Scala,2019,15312,Manual,4292,Petrol,145,49.6,1.0,skoda
 Aygo,2018,5790,Manual,40000,Petrol,150,69.0,1.0,toyota
 A Class,2017,14500,Manual,34866,Diesel,150,68.9,1.5,merc
 5 Series,2018,24998,Semi-Auto,21756,Diesel,150,60.1,2.0,bmw
 Kuga,2019,18992,Manual,1300,Diesel,145,38.2,2.0,ford
 A1,2017,13991,Manual,27937,Petrol,30,57.6,1.4,audi
 I800,2018,15998,Manual,32235,Diesel,145,28.0,2.5,hyundi
 5 Series,2019,31950,Semi-Auto,1355,Diesel,145,55.4,2.0,bmw
 Kuga,2014,10500,Manual,22500,Diesel,145,53.3,2.0,ford
 I20,2016,8300,Manual,14646,Petrol,30,58.9,1.2,hyundi
 4 Series,2018,26875,Semi-Auto,6488,Diesel,145,51.4,3.0,bmw
 Fabia,2019,8690,Manual,13661,Petrol,145,57.7,1.0,skoda
 CLS Class,2016,19495,Automatic,20500,Diesel,125,57.7,2.1,merc
 Focus,2017,11500,Automatic,20733,Petrol,150,51.4,1.0,ford
 Galaxy,2017,17334,Automatic,39824,Diesel,145,52.3,2.0,ford
 A Class,2019,22699,Semi-Auto,1877,Diesel,145,62.8,1.5,merc
 A Class,2019,21495,Semi-Auto,10847,Petrol,145,28.5,1.3,merc
 Aygo,2019,8595,Manual,4267,Petrol,145,56.5,1.0,toyota
 4 Series,2018,20397,Automatic,11068,Diesel,145,65.7,2.0,bmw
 A6,2016,18750,Semi-Auto,22398,Diesel,20,64.2,2.0,audi
 E Class,2017,20480,Semi-Auto,30567,Diesel,145,65.7,2.0,merc
 I10,2018,7125,Manual,28890,Petrol,145,60.1,1.0,hyundi
 A7,2018,25950,Semi-Auto,27431,Diesel,145,52.3,3.0,audi
 A1,2016,12491,Manual,38876,Petrol,30,55.4,1.4,audi
 Q7,2013,17995,Semi-Auto,82890,Diesel,300,38.2,3.0,audi
 Tucson,2019,15692,Manual,15623,Petrol,150,35.3,1.6,hyundi
 TT,2017,19000,Manual,14623,Petrol,150,46.3,1.8,audi
 R8,2019,117990,Automatic,11936,Petrol,145,21.4,5.2,audi
 Fiesta,2017,10298,Manual,26234,Petrol,0,65.7,1.0,ford
 Mondeo,2016,8759,Manual,75374,Diesel,20,68.9,2.0,ford
 4 Series,2016,15790,Semi-Auto,73921,Diesel,160,51.4,3.0,bmw
 Fiesta,2017,8997,Manual,9965,Petrol,125,54.3,1.2,ford
 Fiesta,2016,9291,Manual,39675,Diesel,0,78.5,1.5,ford
 Q7,2019,46000,Automatic,9159,Diesel,145,33.2,3.0,audi
 A Class,2006,2880,Automatic,66000,Diesel,160,52.3,2.0,merc
 A3,2020,20481,Manual,2661,Diesel,145,54.3,1.6,audi
 B Class,2009,4695,Automatic,64000,Petrol,240,40.9,1.5,merc
 Q2,2019,31888,Semi-Auto,3481,Petrol,150,33.2,2.0,audi
 I10,2015,6995,Manual,7516,Petrol,20,60.1,1.0,hyundi
 Karoq,2019,23990,Manual,4099,Diesel,145,42.8,2.0,skoda
 Tucson,2017,16998,Semi-Auto,20385,Diesel,150,57.6,1.7,hyundi
 Mondeo,2018,20000,Automatic,10999,Diesel,145,57.7,2.0,ford
 Kodiaq,2019,23499,Automatic,11548,Diesel,145,49.6,2.0,skoda
 Fiesta,2015,7240,Manual,32137,Diesel,0,88.3,1.5,ford
 Fabia,2019,12890,Manual,624,Petrol,145,52.3,1.0,skoda
 CLS Class,2016,22421,Automatic,26236,Diesel,165,51.4,3.0,merc
 Superb,2015,14998,Semi-Auto,24617,Diesel,30,62.8,2.0,skoda
 2 Series,2019,18450,Manual,7293,Diesel,145,54.3,2.0,bmw
 Fiesta,2018,12000,Manual,9653,Petrol,145,65.7,1.0,ford
 RAV4,2016,20349,Automatic,8080,Hybrid,20,57.6,2.5,toyota
 A4,2019,26990,Automatic,2250,Diesel,145,50.4,2.0,audi
 Focus,2019,17350,Manual,4539,Diesel,145,61.4,1.5,ford
 Q5,2014,18499,Manual,37245,Petrol,235,37.7,2.0,audi
 GLA Class,2016,21480,Semi-Auto,31701,Petrol,200,43.5,2.0,merc
 X3,2019,34991,Semi-Auto,2549,Diesel,145,54.3,2.0,bmw
 Kona,2019,15295,Manual,14398,Petrol,145,44.1,1.0,hyundi
 3 Series,2009,4150,Manual,125000,Diesel,125,60.1,2.0,bmw
 Q5,2013,15670,Manual,55215,Petrol,235,37.7,2.0,audi
 GT86,2019,24990,Manual,3150,Petrol,145,33.2,2.0,toyota
 C Class,2019,29000,Semi-Auto,5937,Petrol,145,44.1,1.5,merc
 S-MAX,2011,4990,Automatic,111200,Diesel,200,47.1,2.0,ford
 Q5,2014,21498,Semi-Auto,66188,Diesel,265,41.5,3.0,audi
 X4,2019,40775,Semi-Auto,5450,Petrol,145,26.9,3.0,bmw
 X1,2020,28940,Semi-Auto,1550,Diesel,145,53.3,2.0,bmw
 Focus,2007,5995,Manual,67000,Petrol,330,26.3,2.5,ford
 A Class,2020,26049,Semi-Auto,1000,Diesel,145,62.8,1.5,merc
 Kona,2019,15000,Manual,14587,Petrol,145,44.1,1.0,hyundi
 X1,2017,22999,Automatic,25190,Petrol,145,44.8,2.0,bmw
 C-HR,2018,18498,Automatic,25576,Hybrid,135,74.3,1.8,toyota
 5 Series,2016,16890,Semi-Auto,22600,Diesel,30,62.8,2.0,bmw
 Tourneo Connect,2016,13990,Manual,16740,Diesel,30,64.2,1.5,ford
 B Class,2019,26099,Automatic,5112,Diesel,145,55.4,2.0,merc
 X5,2016,28999,Automatic,41972,Hybrid,0,85.6,2.0,bmw
 Fiesta,2018,13999,Automatic,6906,Petrol,145,48.7,1.0,ford
 EcoSport,2016,8800,Manual,27692,Petrol,125,53.3,1.0,ford
 KA,2014,5399,Manual,24962,Petrol,30,57.7,1.2,ford
 X1,2017,20495,Semi-Auto,16665,Diesel,125,57.6,2.0,bmw
 V Class,2015,19500,Automatic,99960,Diesel,200,45.6,2.1,merc
 1 Series,2017,11250,Manual,30846,Petrol,125,53.3,1.5,bmw
 Octavia,2019,15300,Semi-Auto,8195,Petrol,145,57.7,1.0,skoda
 Kuga,2015,7991,Manual,128000,Diesel,145,54.3,2.0,ford
 3 Series,2015,16995,Semi-Auto,67000,Diesel,200,49.6,3.0,bmw
 Fiesta,2019,15050,Manual,11559,Petrol,145,58.9,1.0,ford
 GLE Class,2019,49950,Automatic,16668,Diesel,145,32.5,3.0,merc
 Fiesta,2018,11200,Manual,11550,Petrol,150,65.7,1.0,ford
 Fiesta,2014,7000,Manual,56669,Petrol,0,65.7,1.0,ford
 A1,2013,9600,Semi-Auto,58573,Petrol,125,53.3,1.4,audi
 X5,2015,25995,Automatic,46250,Diesel,200,47.1,3.0,bmw
 Fiesta,2018,10491,Manual,16620,Petrol,145,65.7,1.0,ford
 C-MAX,2016,9500,Automatic,13900,Diesel,20,64.2,1.5,ford
 Q2,2018,19990,Manual,4525,Diesel,145,47.9,1.6,audi
 E Class,2013,11229,Automatic,48684,Diesel,125,58.9,2.1,merc
 A3,2020,21450,Manual,6552,Petrol,150,47.9,1.0,audi
 C Class,2019,28989,Automatic,1409,Diesel,145,57.7,2.0,merc
 KA,2008,1895,Manual,50990,Petrol,160,45.6,1.3,ford
 3 Series,2016,12490,Manual,25000,Diesel,30,67.3,2.0,bmw
 Kuga,2020,31991,Semi-Auto,2357,Hybrid,135,201.8,2.5,ford
 Karoq,2019,19619,Automatic,2500,Diesel,145,62.8,1.6,skoda
 Kuga,2015,12500,Manual,66675,Diesel,145,54.3,2.0,ford
 TT,2019,27990,Semi-Auto,1266,Petrol,145,40.9,2.0,audi
 E Class,2019,32495,Automatic,500,Diesel,145,45.6,2.0,merc
 CLA Class,2016,16000,Manual,33231,Petrol,125,51.4,1.6,merc
 1 Series,2015,8869,Manual,62574,Diesel,0,83.1,1.5,bmw
 Fiesta,2018,12499,Manual,8700,Petrol,145,58.9,1.0,ford
 X-CLASS,2019,24991,Automatic,8974,Diesel,260,35.8,2.3,merc
 E Class,2017,22998,Semi-Auto,16910,Diesel,145,65.7,2.0,merc
 A4,2019,25950,Automatic,5345,Petrol,145,38.7,2.0,audi
 3 Series,2016,15998,Semi-Auto,46649,Hybrid,0,134.5,2.0,bmw
 Tucson,2016,12298,Manual,38564,Diesel,30,61.7,1.7,hyundi
 Fiesta,2018,10795,Manual,19901,Petrol,150,65.7,1.0,ford
 Superb,2016,19995,Semi-Auto,5815,Petrol,200,39.8,2.0,skoda
 A4,2020,47990,Automatic,5500,Petrol,145,35.3,2.0,audi
 Edge,2019,27499,Automatic,1657,Diesel,145,40.4,2.0,ford
 Kuga,2020,33500,Automatic,5534,Hybrid,140,201.8,2.5,ford
 E Class,2016,17240,Semi-Auto,30277,Diesel,20,72.4,2.0,merc
 GLC Class,2019,35162,Semi-Auto,4557,Diesel,150,44.8,2.0,merc
 Kuga,2018,18000,Semi-Auto,27964,Diesel,145,54.3,2.0,ford
 A Class,2019,19491,Automatic,7057,Diesel,145,68.9,1.5,merc
 A1,2017,14990,Manual,38000,Petrol,30,56.5,1.4,audi
 Fiesta,2018,9298,Manual,19448,Petrol,145,64.2,1.1,ford
 Fiesta,2020,14500,Manual,7,Petrol,145,56.5,1.0,ford
 C Class,2017,18350,Semi-Auto,42000,Diesel,30,64.2,2.1,merc
 GLC Class,2017,28900,Automatic,6587,Diesel,150,56.5,2.1,merc
 Tucson,2018,16498,Manual,18,Petrol,145,34.9,1.6,hyundi
 CLS Class,2013,14750,Automatic,56198,Diesel,200,46.3,3.0,merc
 A3,2016,16295,Semi-Auto,32200,Diesel,30,61.4,2.0,audi
 1 Series,2017,21498,Semi-Auto,25630,Petrol,145,39.8,3.0,bmw
 Karoq,2020,17995,Manual,1000,Petrol,145,43.5,1.0,skoda
 Avensis,2016,9990,Manual,19862,Diesel,20,67.3,1.6,toyota
 X3,2015,18980,Semi-Auto,33122,Diesel,205,47.9,3.0,bmw
 Ka+,2018,7900,Manual,29339,Petrol,145,57.7,1.2,ford
 I10,2017,6498,Manual,21070,Petrol,145,60.1,1.0,hyundi
 Ka+,2018,8330,Manual,7428,Petrol,145,57.7,1.2,ford
 Kuga,2013,9980,Manual,46635,Diesel,200,47.9,2.0,ford
 SLK,2014,13650,Semi-Auto,34170,Petrol,200,43.5,2.0,merc
 Q3,2019,26970,Semi-Auto,8838,Diesel,145,48.7,2.0,audi
 Citigo,2016,6950,Manual,14631,Petrol,20,62.8,1.0,skoda
 GLE Class,2019,48291,Automatic,10835,Petrol,145,30.1,3.0,merc
 GLA Class,2017,19499,Semi-Auto,19204,Diesel,145,64.2,2.1,merc
 Focus,2015,7600,Semi-Auto,31816,Petrol,160,44.8,1.6,ford
 Q8,2019,56000,Automatic,9126,Diesel,145,33.6,3.0,audi
 Q5,2019,45000,Automatic,4920,Hybrid,135,117.7,2.0,audi
 Fiesta,2019,12500,Manual,3750,Petrol,145,55.4,1.1,ford
 IX20,2019,14062,Automatic,357,Petrol,145,34.5,1.6,hyundi
 A7,2017,24500,Semi-Auto,38519,Diesel,145,52.3,3.0,audi
 Octavia,2017,10990,Manual,29880,Petrol,30,55.4,1.4,skoda
 C Class,2020,40999,Automatic,400,Other,135,217.3,2.0,merc
 Fiesta,2014,6998,Manual,29095,Petrol,30,54.3,1.2,ford
 Fabia,2019,13999,Semi-Auto,3000,Petrol,150,60.1,1.0,skoda
 Fabia,2015,7882,Manual,44499,Petrol,20,60.1,1.2,skoda
 Tucson,2017,13995,Manual,24866,Petrol,145,44.8,1.6,hyundi
 Fiesta,2017,9000,Manual,15809,Petrol,150,65.7,1.0,ford
 Aygo,2016,7195,Manual,19998,Petrol,0,69.0,1.0,toyota
 I10,2017,7849,Manual,6725,Petrol,145,60.1,1.0,hyundi
 3 Series,2018,19490,Semi-Auto,28816,Petrol,150,48.7,2.0,bmw
 Kodiaq,2019,29999,Automatic,11364,Diesel,145,39.2,2.0,skoda
 Q2,2017,23500,Semi-Auto,40283,Diesel,145,58.9,2.0,audi
 A3,2017,15450,Manual,10000,Diesel,20,72.4,1.6,audi
 RAV4,2017,20795,Automatic,25000,Hybrid,20,57.6,2.5,toyota
 Santa Fe,2018,29495,Semi-Auto,8400,Diesel,150,39.8,2.2,hyundi
 A1,2014,11000,Manual,34315,Petrol,125,53.3,1.4,audi
 Fabia,2017,8995,Manual,21000,Petrol,145,60.1,1.2,skoda
 Fiesta,2017,9298,Manual,14399,Petrol,0,65.7,1.0,ford
 Octavia,2019,14590,Manual,4250,Diesel,145,68.9,1.6,skoda
 KA,2014,5997,Manual,32385,Petrol,30,57.7,1.2,ford
 Fiesta,2018,11250,Manual,20186,Petrol,145,56.5,1.0,ford
 Galaxy,2017,17995,Semi-Auto,40782,Diesel,145,52.3,2.0,ford
 1 Series,2017,13975,Automatic,20206,Diesel,0,74.3,2.0,bmw
 Focus,2019,18139,Manual,17522,Petrol,145,50.4,1.5,ford
 B Class,2014,9998,Manual,24510,Diesel,30,61.4,1.5,merc
 Focus,2012,5999,Manual,44988,Petrol,30,56.5,1.0,ford
 A4,2019,26899,Automatic,4080,Petrol,145,42.2,2.0,audi
 I10,2018,7495,Manual,14669,Petrol,145,60.1,1.0,hyundi
 Aygo,2017,7795,Manual,13991,Petrol,150,69.0,1.0,toyota
 Kuga,2018,15495,Manual,16055,Diesel,150,60.1,2.0,ford
 3 Series,2016,15000,Automatic,53745,Diesel,145,54.3,3.0,bmw
 Ka+,2018,8191,Manual,8001,Petrol,150,57.7,1.2,ford
 Kuga,2019,26000,Semi-Auto,4290,Diesel,145,42.2,2.0,ford
 Q3,2016,19495,Semi-Auto,31959,Diesel,160,50.4,2.0,audi
 Octavia,2018,11695,Manual,35790,Diesel,145,65.7,2.0,skoda
 A Class,2013,12498,Semi-Auto,38301,Petrol,150,49.6,1.6,merc
 E Class,2017,22480,Semi-Auto,17897,Diesel,145,61.4,2.0,merc
 Focus,2017,10998,Manual,7426,Petrol,20,60.1,1.0,ford
 Octavia,2013,7195,Manual,86505,Diesel,30,62.8,2.0,skoda
 C Class,2019,35399,Semi-Auto,1152,Petrol,145,44.1,1.5,merc
 Fiesta,2015,9450,Manual,21930,Petrol,0,65.7,1.0,ford
 Yaris,2016,8995,Manual,41074,Petrol,30,58.0,1.3,toyota
 C Class,2019,23849,Semi-Auto,15207,Petrol,145,46.3,1.5,merc
 Fiesta,2018,12500,Manual,15000,Petrol,145,65.7,1.0,ford
 Aygo,2018,6600,Manual,28023,Petrol,145,69.0,1.0,toyota
 GLE Class,2018,38881,Semi-Auto,13758,Petrol,145,31.7,3.0,merc
 CL Class,2015,15197,Manual,51558,Diesel,20,67.3,2.1,merc
 A Class,2013,14498,Semi-Auto,25064,Petrol,160,45.6,2.0,merc
 2 Series,2017,16499,Automatic,12301,Petrol,145,51.4,1.5,bmw
 A Class,2017,19019,Manual,35048,Diesel,150,68.9,1.5,merc
 I800,2018,15499,Manual,33173,Diesel,145,37.7,2.5,hyundi
 Fiesta,2016,8599,Automatic,30373,Petrol,0,57.7,1.0,ford
 C Class,2016,16400,Automatic,46479,Diesel,125,60.1,2.1,merc
 I10,2015,7999,Semi-Auto,20761,Petrol,165,45.6,1.2,hyundi
 3 Series,2020,24990,Manual,101,Diesel,150,56.5,2.0,bmw
 Fiesta,2017,8291,Manual,24450,Petrol,145,64.2,1.1,ford
 CL Class,2019,30299,Semi-Auto,7772,Petrol,145,40.4,2.0,merc
 Q2,2020,24950,Semi-Auto,789,Diesel,145,47.9,1.6,audi
 A Class,2019,32300,Automatic,9509,Petrol,145,35.8,2.0,merc
 IX20,2016,8790,Manual,20063,Petrol,125,50.4,1.4,hyundi
 I40,2016,9500,Semi-Auto,59335,Diesel,125,56.5,1.7,hyundi
 C-MAX,2016,10290,Manual,34000,Diesel,20,68.9,1.5,ford
 Aygo,2014,5985,Manual,24176,Petrol,0,69.0,1.0,toyota
 EcoSport,2018,13250,Manual,16581,Petrol,150,54.3,1.0,ford
 Yaris,2018,10998,Manual,6280,Petrol,145,58.9,1.5,toyota
 Superb,2017,14700,Manual,26967,Petrol,20,68.9,2.0,skoda
 Focus,2019,27975,Manual,5000,Petrol,145,34.5,2.3,ford
 Kodiaq,2017,17800,Manual,38500,Diesel,150,51.4,2.0,skoda
 Q2,2019,25491,Automatic,7778,Petrol,145,40.9,1.5,audi
 Q7,2019,45800,Automatic,10035,Diesel,145,32.8,3.0,audi
 Fiesta,2018,10999,Manual,18800,Petrol,145,65.7,1.0,ford
 5 Series,2015,13279,Automatic,50355,Diesel,30,62.8,2.0,bmw
 Yaris,2019,14295,Automatic,11465,Petrol,145,47.9,1.5,toyota
 X5,2019,52995,Semi-Auto,5853,Diesel,145,37.7,3.0,bmw
 Octavia,2019,18999,Semi-Auto,1162,Petrol,145,44.8,1.5,skoda
 4 Series,2015,12970,Manual,40276,Diesel,30,67.3,2.0,bmw
 C Class,2015,13750,Semi-Auto,61985,Diesel,20,64.2,2.1,merc
 I40,2017,10277,Manual,15326,Diesel,145,65.7,1.7,hyundi
 Yaris,2019,11280,Manual,6065,Petrol,145,47.9,1.5,toyota
 Karoq,2018,17695,Automatic,14324,Petrol,145,54.3,1.0,skoda
 EcoSport,2016,9998,Manual,20491,Petrol,125,52.3,1.0,ford
 Tucson,2019,19000,Manual,21,Petrol,145,34.9,1.6,hyundi
 5 Series,2015,10795,Automatic,91360,Diesel,30,62.8,2.0,bmw
 C-MAX,2017,11000,Manual,5584,Petrol,30,55.4,1.0,ford
 Karoq,2019,18990,Manual,50,Petrol,150,43.5,1.0,skoda
 1 Series,2016,13895,Semi-Auto,31453,Diesel,20,67.3,2.0,bmw
 Kuga,2017,15045,Manual,34912,Diesel,125,60.1,2.0,ford
 Focus,2018,14891,Manual,14115,Diesel,145,74.3,1.5,ford
 Fiesta,2020,17990,Manual,494,Petrol,145,53.3,1.0,ford
 I30,2019,14990,Manual,988,Petrol,145,45.6,1.0,hyundi
 Fiesta,2019,12990,Manual,2910,Petrol,145,48.7,1.1,ford
 I30,2017,10800,Manual,8092,Petrol,145,56.5,1.0,hyundi
 5 Series,2018,27498,Semi-Auto,13197,Hybrid,140,156.9,2.0,bmw
 Octavia,2017,12695,Semi-Auto,32111,Petrol,150,57.7,1.4,skoda
 3 Series,2014,13950,Automatic,31098,Diesel,30,62.8,2.0,bmw
 I10,2017,7695,Manual,17500,Petrol,30,57.7,1.2,hyundi
 Fiesta,2009,3695,Manual,62000,Petrol,145,49.6,1.2,ford
 5 Series,2019,36500,Semi-Auto,4971,Diesel,145,55.4,2.0,bmw
 Focus,2014,7499,Semi-Auto,47329,Petrol,160,44.8,1.6,ford
 3 Series,2012,9975,Automatic,64191,Diesel,160,50.4,2.0,bmw
 GLC Class,2016,22500,Semi-Auto,26789,Diesel,125,56.5,2.1,merc
 Mondeo,2018,13999,Automatic,33643,Diesel,145,45.6,2.0,ford
 5 Series,2016,14000,Automatic,48403,Diesel,30,62.8,2.0,bmw
 C Class,2019,26799,Semi-Auto,10871,Diesel,145,61.4,2.0,merc
 3 Series,2020,33875,Semi-Auto,2000,Petrol,145,40.4,2.0,bmw
 RAV4,2015,12100,Manual,54520,Diesel,125,57.6,2.0,toyota
 Fabia,2017,11195,Semi-Auto,21145,Petrol,145,60.1,1.2,skoda
 C Class,2019,29980,Semi-Auto,9454,Diesel,145,57.7,2.0,merc
 A Class,2016,17298,Manual,31879,Petrol,200,41.5,2.0,merc
 Q2,2017,12745,Manual,87000,Diesel,30,64.2,1.6,audi
 C Class,2019,34995,Automatic,5999,Diesel,145,54.3,2.0,merc
 Fiesta,2017,8400,Manual,7024,Petrol,125,54.3,1.2,ford
 X1,2019,27440,Manual,123,Petrol,145,39.8,1.5,bmw
 E Class,2019,24780,Semi-Auto,2000,Diesel,145,72.4,2.0,merc
 Kuga,2018,17498,Automatic,14337,Petrol,145,38.2,1.5,ford
 1 Series,2019,25995,Manual,1309,Petrol,145,41.5,1.5,bmw
 GLC Class,2017,24999,Semi-Auto,29897,Diesel,125,56.5,2.1,merc
 GT86,2020,27998,Manual,516,Petrol,150,33.2,2.0,toyota
 Kodiaq,2019,26000,Automatic,7000,Diesel,150,56.5,2.0,skoda
 Fiesta,2014,7040,Manual,41731,Petrol,0,65.7,1.0,ford
 Yaris,2005,2699,Manual,64373,Petrol,145,50.4,1.0,toyota
 C Class,2019,25316,Semi-Auto,12695,Petrol,145,44.1,1.5,merc
 Mondeo,2015,13689,Semi-Auto,31255,Diesel,125,58.9,2.0,ford
 3 Series,2016,11298,Manual,64308,Diesel,20,68.9,2.0,bmw
 S-MAX,2016,19000,Semi-Auto,35665,Diesel,145,54.3,2.0,ford
 TT,2019,36990,Automatic,9081,Petrol,145,35.3,2.0,audi
 Kodiaq,2019,25971,Automatic,14507,Petrol,150,31.7,2.0,skoda
 Fiesta,2018,11695,Manual,12874,Petrol,150,65.7,1.0,ford
 Octavia,2017,16100,Automatic,12913,Diesel,145,61.4,2.0,skoda
 A Class,2019,26980,Semi-Auto,16,Petrol,145,28.5,2.0,merc
 Kodiaq,2019,34950,Automatic,5189,Diesel,145,35.3,2.0,skoda
 Fiesta,2017,8495,Manual,27983,Petrol,125,54.3,1.2,ford
 Kuga,2017,15500,Manual,21394,Diesel,145,60.1,2.0,ford
 Fabia,2017,10750,Semi-Auto,14021,Petrol,150,61.4,1.0,skoda
 Yaris,2016,6998,Manual,22169,Petrol,0,66.0,1.0,toyota
 Focus,2014,6936,Manual,71250,Diesel,0,74.3,1.5,ford
 A8,2018,35000,Semi-Auto,4524,Diesel,145,40.4,3.0,audi
 1 Series,2019,25290,Automatic,5511,Petrol,145,40.4,1.5,bmw
 Karoq,2020,24980,Automatic,2000,Petrol,150,41.5,1.5,skoda
 Fiesta,2019,13898,Manual,7845,Petrol,145,58.9,1.0,ford
 A6,2017,16950,Manual,27554,Diesel,145,61.4,2.0,audi
 S-MAX,2019,25000,Automatic,13200,Diesel,145,53.3,2.0,ford
 2 Series,2018,17722,Manual,19571,Petrol,145,52.3,1.5,bmw
 C Class,2019,30995,Semi-Auto,1,Diesel,145,46.3,2.0,merc
 CLS Class,2019,35980,Semi-Auto,7444,Diesel,145,48.7,2.9,merc
 Focus,2016,12697,Automatic,19823,Petrol,150,46.3,1.5,ford
 EcoSport,2019,17000,Manual,1307,Petrol,145,52.3,1.0,ford
 C Class,2020,35900,Automatic,3000,Diesel,145,61.4,2.0,merc
 Fiesta,2014,6299,Manual,28543,Petrol,30,54.3,1.2,ford
 Kuga,2017,14299,Manual,21469,Diesel,30,64.2,1.5,ford
 Focus,2018,25998,Manual,13847,Petrol,145,58.9,1.0,ford
 Q3,2016,14700,Manual,32704,Diesel,30,60.1,2.0,audi
 X2,2019,28150,Semi-Auto,6950,Diesel,145,58.9,2.0,bmw
 S-MAX,2015,18499,Automatic,24622,Petrol,260,35.8,2.0,ford
 Yaris,2019,11984,Automatic,22000,Petrol,145,47.9,1.5,toyota
 Kona,2019,18695,Semi-Auto,21750,Petrol,145,34.0,1.6,hyundi
 3 Series,2016,12400,Manual,33270,Petrol,150,48.7,2.0,bmw
 A Class,2016,16995,Semi-Auto,21644,Diesel,20,68.9,2.1,merc
